Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
Balança comercial,Exportações,2002-01-25,2003,65.71,66.0,2.74,61.0,71.9,,0
Balança comercial,Exportações,2002-01-25,2004,71.21,72.05,4.01,64.0,80.5,,0
Balança comercial,Exportações,2002-01-25,2005,77.17,79.0,5.66,68.0,90.8,,0
Balança comercial,Exportações,2002-01-25,2006,79.33,79.3,7.52,71.0,94.0,,0
Balança comercial,Exportações,2002-01-28,2002,60.76,60.77,1.63,56.8,66.0,,0
Balança comercial,Exportações,2002-01-28,2003,65.68,66.0,2.81,61.0,71.9,,0
Balança comercial,Exportações,2002-01-28,2004,71.11,72.0,4.05,64.0,80.5,,0
Balança comercial,Exportações,2002-01-28,2005,77.0,78.5,5.76,68.0,90.8,,0
Balança comercial,Exportações,2002-01-28,2006,80.16,79.65,7.35,71.0,94.0,,0
Balança comercial,Exportações,2002-01-29,2002,60.7,60.67,1.6099999999999999,56.8,66.0,,0
Balança comercial,Exportações,2002-01-29,2003,65.63,66.0,2.77,61.0,71.9,,0
Balança comercial,Exportações,2002-01-29,2004,71.2,72.25,4.0,64.0,80.5,,0
Balança comercial,Exportações,2002-01-29,2005,77.05,78.0,5.62,68.0,90.8,,0
Balança comercial,Exportações,2002-01-29,2006,80.76,80.0,7.1,71.0,94.0,,0
Balança comercial,Exportações,2002-01-30,2002,60.7,60.67,1.6099999999999999,56.8,66.0,,0
Balança comercial,Exportações,2002-01-30,2003,65.63,66.0,2.77,61.0,71.9,,0
Balança comercial,Exportações,2002-01-30,2004,71.2,72.25,4.0,64.0,80.5,,0
Balança comercial,Exportações,2002-01-30,2005,77.05,78.0,5.62,68.0,90.8,,0
Balança comercial,Exportações,2002-01-30,2006,80.76,80.0,7.1,71.0,94.0,,0
Balança comercial,Exportações,2002-01-31,2002,60.71,60.67,1.58,56.8,66.0,,0
Balança comercial,Exportações,2002-01-31,2003,65.56,65.71,2.73,61.0,71.9,,0
Balança comercial,Exportações,2002-01-31,2004,70.97,72.05,3.95,64.0,80.5,,0
Balança comercial,Exportações,2002-01-31,2005,76.62,78.0,5.58,68.0,90.8,,0
Balança comercial,Exportações,2002-01-31,2006,80.0,79.15,6.23,71.0,94.0,,0
